numero_de_inscripcion|numero_de_inscripcion_antiguo|seccion|nombre|nombre_generico|fecha_de_inscripcion|tipo_de_entidad|confesion|subconfesion|ambito|domicilio|poblacion|provincia|codigo_postal|comunidad_autonoma|correo_electonico|web|representantes_legales|federaciones
000945|356-SE/F|Sección Especial (Fundaciones)|CENTRO DE ORIENTACION FAMILIAR DIOCESANO DE CIUDAD REAL||20111219|FUNDACIÓN||||CALLE TOLEDO, 22, 3º C|CIUDAD REAL|CIUDAD REAL|13001|CASTILLA LA MANCHA|||Adriano Delgado Perea,Antonio Algora Hernando,Fermín Gassol Peco,Francisco del Río Muñoz,Juan de Dios Martín Ramírez,María Lourdes García del Valle,Tomás Villar Salinas|
023088||Sección Especial (Fundaciones)|ELIKEL FUNDAZIOA, FUNDACION DIOCESANA DE ENSEÑANZA||20160831|FUNDACIÓN||||ZABALETA, 5, BAJO|SAN SEBASTIAN|GUIPUZCOA|20001|PAIS VASCO|canciller@elizagipuzkoa.org||Ander ALKORTA URQUIOLA,Francisco Javier PALMERO CHAO,Jose María ARTOLA GASTACA,José Ignacio  MUNILLA AGUIRRE,Juan María OLAECHEA GARAICOECHEA,Mikel ARANGUREN ZUBIALQUI,Tomás  IRAOLA SARASUA,Viktoriano  Etxabe Aginagalde|
000991|377-SE/F|Sección Especial (Fundaciones)|FONDAZIONE CENTESIMUS ANNUS PRO PONTIFICE||20130121|FUNDACIÓN||||MARQUES DE URQUIJO, 10, 7º CENTRO|MADRID|MADRID|28008|MADRID|||DOMINGO PEDRO RAMON SUGRANYES BICKEL|
001061|396-SE/F|Sección Especial (Fundaciones)|FUNDACIO ARQUEBISBE JOAN MARTI ALANIS||20140401|FUNDACIÓN||||PATI PALAU, 1-5|LA SEU D'URGELL|LÉRIDA|00000|CATALUÑA|||BENIGNE MARQUES SALA,CARLOS MARTIN NEIRA,David CODINA PEREZ,FRANCESC XAVIER PARES SALTOR,IGNASI NAVARRI BENET,JOAN ENRIC VIVES SICILIA,JOSEP MARIA MAURI PRIOR,RAMON SARRIES RIBALTA|
001005|382-SE/F|Sección Especial (Fundaciones)|FUNDACIO CAPELLA BADIA DE MATADEPERA||20130219|FUNDACIÓN||||FRANCESC BADIA, 1.|MATADEPERA|BARCELONA|00000|CATALUÑA|||ANNA PERPINYA TORREGROSSA,CONCEPCION ARMENGOL MITJANS,DAVID ABADIAS AURIN,EULALIA DALMASES COSTA,FRANCESC DE PAULA CAMINAL BADIA,JOAQUIM BADIA TOBELLA,JOSEP MARIA BADIA TOBELLA,MERCE BADIA TOBELLA,MONTSERRAT CAMINAL BADIA,ORIOL BADIA TOBELLA,TERESINA BADIA TOBELLA|
000970|368-SE/F|Sección Especial (Fundaciones)|FUNDACIO ESCOLAPIES||20120801|FUNDACIÓN||||CALLE JOAN DE PEGUERA, 42|BARCELONA|BARCELONA|00000|CATALUÑA|||EMILIO ROJAS BLASI,IGNACIO GUIMARANS RIVAS,MARIA CONCEPCION OROMI LLENES,MARIA DIVINA GARCIA-CALZADA,MARIA ESTER MARTINEZ GONZALEZ,MARIA EUGENIA SALA GOMEZ,ROSA COSTA-JUSSA BORDAS|
000518|188-SE/F|Sección Especial (Fundaciones)|FUNDACIO ESPLAI GIRONA - MARE DE DEU DEL MONT||19990920|FUNDACIÓN||||ANTIC ROCA, 38|GIRONA|GERONA|17004|CATALUÑA|||ANNA CASADEVALL SALA,BENJAMIN COMAS I MATAS,CONSOL DURAN I VILA,FERRAN RUIZ I RODRIGUEZ,JAUME PORTULAS I FELIP,JAUME TORRENT I BUSQUET,JORDI CALLEJON I  FERER,LLUIS ILLAS I BOU,MARIA BOSCH GAYOLA,PERE FANALS I ORIOL,PERE COSTA I VILANOVA|
022261||Sección Especial (Fundaciones)|FUNDACIO LLAR CRISTIANA MARIA MAESTRE||20141118|FUNDACIÓN||||PATI PALAU, 1-5|LA SEU D`URGELL|LÉRIDA|25700|CATALUÑA|||CARLES MARTIN NEIRA,DAVID CODINA PEREZ,JOAN-ENRIC  VIVES SICILIA,JOSEP CASANOVA OBIOLS,JOSEP MARIA  MAURI PRIOR|
000109|38-SE/F|Sección Especial (Fundaciones)|FUNDACIO MARE DE DEU  DE FATIMA||19871009|FUNDACIÓN||||SANTUARI, 94|BARCELONA|BARCELONA|00000|CATALUÑA|||ANNA Mª. ANGLI JANE,CAROLINA TAPIAS CERDA,EDUARD TICO POLICART,GUILLERMO GRAS GOÑALONS,ISOLDA VENTURA ARASANZ,JAVIER QUILEZ GARCIA,JOSEP LLUIS FERNANDEZ PADRO,Lluis CASTELLS I RIBAS,MARIA TRIAS VIDAL DE LLOBATERA,Mª. CARMEN TRIAS JOVER,NAGORE DE LAUZIRIKA DURALL,ROSA CARBO LOZA,ROSER BASSETS MARILL,TERESA TRIAS JOVER|
000828|304-SE/F|Sección Especial (Fundaciones)|FUNDACIO PIA AUTONOMA MARE DE DEU DE LA  BOVERA||20080122|FUNDACIÓN||||PLAZA DE LA IGLESIA, S/N|GUIMERA|LÉRIDA|00000|CATALUÑA|||JOAN FRANCESC AMIGO BATRA|
000799|291-SE/F|Sección Especial (Fundaciones)|FUNDACIO SANT JOSEP DE BADALONA||20061117|FUNDACIÓN||||PASSATGE VENTOS MIR, 24|BADALONA|BARCELONA|00000|CATALUÑA|||JAUME CASTELLVI MASJUAN|
000146|51-SE/F|Sección Especial (Fundaciones)|FUNDACION  ARESTI  LLORENTE||19881005|FUNDACIÓN||||FORTUNY, 19, ENTRESUELO DERECHA.|MADRID|MADRID|00000|MADRID|||CARLOS ARESTI LLORENTE|
000094|33-SE/F|Sección Especial (Fundaciones)|FUNDACION  ASISTENCIAL COMARCAL DE CORRAL DE ALMAGUER NUESTRA SEÑORA DE LA MUELA||19870604|FUNDACIÓN||||CAMPANAS, 2|CORRAL DE ALMAGUER|TOLEDO|45880|CASTILLA LA MANCHA|||AMBROSIO RODRIGUEZ PEREA,JESUS SERRANO RUIZ,JOSE MANCHEÑO MUÑOZ,JUAN FRANCISCO PINUAGA PORTILLO,MIGUEL MOLINA BADAJOZ,Mª. CONCEPCION RUIZ MUÑOZ,Mª. ISABEL RODRIGUEZ RODRIGUEZ,PETRA OVEJERO VILLAR,PIEDAD BRETON SANCHEZ,TOMAS CATALAN MARTINEZ|
000653|235-SE/F|Sección Especial (Fundaciones)|FUNDACION  ATENA PER AL FOMENT DE SABER AB SABOR||20021219|FUNDACIÓN||||PLAZA MAYOR, 49|SANT PRIVAT D' EN BAS|GERONA|00000|CATALUÑA|||ANTONI-MARIA BADIA I MARGARIT|
000286|103-SE/F|Sección Especial (Fundaciones)|FUNDACION  BLANQUERNA||19920406|FUNDACIÓN||||PASEO DE SANT GERVASI, 47|BARCELONA|BARCELONA|00000|CATALUÑA|||Andreu IBARZ MELLADO,Celia ROSCH PLA,Consol MUÑOZ SANJUAN,Cristóbal LOPEZ ROMERO,Francisco José RUIZ PEREZ,Jaume LANASPA GATNEU,Jaume SOLE JANER,Josep María FORCADA CASANOVAS,Josep María TURULL GARRIGA,Josep Ramon SERRAT CRESPO,Lluis FOIX CARNICE,Montserrat QUERALT CAPDEVILA,Mª Narcisa FIIOL SAIZ,Ramón PLA ARXE,Salvador PIE NINOT|
000118|41-SE/F|Sección Especial (Fundaciones)|FUNDACION  BUGUET||19871126|FUNDACIÓN||||OBISPO IRURITA, 5|BARCELONA|BARCELONA|00000|CATALUÑA|||JUAN DE FIGAROLAS NURI|
000148|52-SE/F|Sección Especial (Fundaciones)|FUNDACION  CASA DE LA FAMILIA||19881026|FUNDACIÓN||||PLAZA DEL CONDE DE BARAJAS, 1|MADRID|MADRID|00000|MADRID|||ENRIQUE DE MIGUEL ANASAGASTI,Ignacio PERALES DE MIGUEL,JAVIER VALENTIN-GAMAZO LAMANA,JOSE BARCELO LLAUGER,JOSE FRANCISCO BARCELO LLAUGER,JOSE LUIS MONTES TOYOS,MARIA BAZAL GONZALEZ,MARIA MERINO MERINO,MARIA LUISA SARRIÓ PARDO DE DONLEBÚN,MIGUEL ANGEL LASHERAS GARCIA,PALOMA GARCIA DE OTEIZA,PAZ CABRERA CEÑAL,SALVADOR MUÑOZ IGLESIAS|
000070|24-SE/F|Sección Especial (Fundaciones)|FUNDACION  CASA SACERDOTAL DE BARCELONA||19870128|FUNDACIÓN||||DURAN Y BAS, 9|BARCELONA|BARCELONA|00000|CATALUÑA|||ANGEL FABREGA GRAU|
000400|144-SE/F|Sección Especial (Fundaciones)|FUNDACION  CATALUNYA CRISTIANA PER A L'EVANGELIZACIO I  LA CULTURA||19960426|FUNDACIÓN||||COMTES DE BELL-LLOC, 67-69|BARCELONA|BARCELONA|00000|CATALUÑA|||ENRIC MAS LOPEZ,IGNASI TORRENT PORTABELLA,IGNASI GARCIA RAFANELL,RAMON CASALS LAMARCA,REGINA MOLINS LOPEZ-RODO,XAVIER PICH-AGUILERA ROCA|
000426|154-SE/F|Sección Especial (Fundaciones)|FUNDACION  CENTRO DE SOLIDARIDAD INTERDIOCESANO DE HUESCA||19980129|FUNDACIÓN||||SANCHO ABARCA, 18, BAJOS|HUESCA|HUESCA|00000|ARAGÓN|||JOSE LUIS CABRERO MALLOR|
000359|129-SE/F|Sección Especial (Fundaciones)|FUNDACION  DOCTOR TARRES||19941019|FUNDACIÓN||||PALAUDARIES, 23|BARCELONA|BARCELONA|00000|CATALUÑA|||JOSEP SEGALA CARBO|
000310|111-SE/F|Sección Especial (Fundaciones)|FUNDACION  EDUCACION CATOLICA||19921223|FUNDACIÓN||||HACIENDA DE PAVONES, 5, 1º|MADRID|MADRID|00000|MADRID|||JUAN DE ISASA GONZALEZ DE UBIETA,RAFAEL BENJUMEA CABEZA DE VACA|
000584|209-SE/F|Sección Especial (Fundaciones)|FUNDACION  ELKARTU||20010525|FUNDACIÓN||||GRAN VIA, 14-18|SESTAO|VIZCAYA|00000|PAIS VASCO|||ANA MARIA RODRIGUEZ GUTIERREZ,FRANCISCO JAVIER HAYA ARREYTUNANDIA,JOSE IGNACIO MARTIN SUQUIA,JUAN JOSE BRUNET GUTIERREZ,JUAN LUIS URMENETA GALFARSORO,JUAN MARIA ABURTO RIQUÉ,MARIA CARMEN AGUIRRE CUADRA,MARIA TERESA HEREDIA BALLANO,PEDRO MARIA RECACOECHEA LECUE|
000448|162-SE/F|Sección Especial (Fundaciones)|FUNDACION  ENCARNACION CASAS||19980630|FUNDACIÓN||||SANTA MARÍA DEL BUEN AIRE,  2.|GUADIX|GRANADA|00000|ANDALUCIA|||JOSE ANTONIO ROBLES NAVARRO|
000104|36-SE/F|Sección Especial (Fundaciones)|FUNDACION  ENSEÑANZA Y FORMACION||19870713|FUNDACIÓN||||AVENIDA DE PEDRALBES,  60-62|BARCELONA|BARCELONA|00000|CATALUÑA|||JAIME IGLESIAS SITGES|
000186|66-SE/F|Sección Especial (Fundaciones)|FUNDACION  ESCUELAS DOMINICALES DE GRANADA||19900427|FUNDACIÓN||||GRACIA, 48|GRANADA|GRANADA|00000|ANDALUCIA|||JOSE MENDEZ ASENSIO|
